Node,Load
n101,102.69006
n102,91.88058
n103,170.24931
n104,70.26162
n105,67.55925
n106,129.71376
n107,118.90428
n108,162.1422
n109,164.84457
n110,183.76116
n111,0
n112,0
n113,251.32041
n114,183.76116
n115,299.96307
n116,94.58295
n117,0
n118,316.17729
n119,172.95168
n120,121.60665
n121,0
n122,0
n123,0
n124,0
n201,102.69006
n202,91.88058
n203,170.24931
n204,70.26162
n205,67.55925
n206,129.71376
n207,118.90428
n208,162.1422
n209,164.84457
n210,183.76116
n211,0
n212,0
n213,251.32041
n214,183.76116
n215,299.96307
n216,94.58295
n217,0
n218,316.17729
n219,172.95168
n220,121.60665
n221,0
n222,0
n223,0
n224,0
